abaissement	[n.m] - recessione [n]
amuser	[vblex] - divertir [vblex]
améliorer	[vblex] - migliorare [vblex]
aménagement	[n.m] - disposizione [n]
américain	[adj.f] - statunitense [adj]
américain	[adj.GD] - statunitense [adj]
américain	[adj.m] - statunitense [adj]
américain	[adj] - americano [adj]
américain	[n] - americano [adj]
an	[n] - anno [n]
anal	[adj.f] - anale [adj]
anal	[adj.GD] - anale [adj]
anal	[adj.m] - anale [adj]
analogue	[adj.mf] - analogo [adj]
analphabète	[adj.mf] - analfabeta [n]
analyse	[n.f.ND] - analisi [n]
analyse	[n.f.pl] - analisi [n]
analyse	[n.f.sg] - analisi [n]
analyse	[n] - analisi [n]
analyste	[n] - analista [n]
analytique	[n.f] - analitico [adj]
anarchique	[adj.mf] - anarchico [adj]
anarchisme	[n] - anarchismo [n]
anarchiste	[adj] - anarchico [adj.f]
anatomique	[adj.mf] - anatomico [adj]
ancestral	[adj.f] - ancestrale [adj]
ancestral	[adj.GD] - ancestrale [adj]
ancestral	[adj.m] - ancestrale [adj]
ancien	[adj] - antico [adj]
ancien	[n] - anziano [n]
anciennement	[adv] - anticamente [adv]
ancre	[n] - ancora [n]
anecdote	[n] - aneddoto [n]
anesthésie	[n] - anestesia [n]
ange	[n] - angelo [n]
anglais	[adj.f] - inglese [n]
anglais	[adj.m.sp] - inglese [n]
anglais	[n.f] - inglese [n]
anglais	[n.m.sp] - inglese [n]
angle	[n] - angolo [n]
anglican	[adj] - anglicanesimo [n]
anglo-saxon	[adj] - anglosassoni [n]
animal	[n] - animale [adj]
animation	[n] - animazione [n]
animer	[vblex] - animare [vblex]
animosité	[n] - ripugnanza [n]
annal	[adj.f] - annuale [adj]
annal	[adj.m] - annuale [adj]
annales	[n.f] - annale [n]
anneau	[n] - anello [n]
annexe	[n.f] - allegato [n]
anniversaire	[n.m.ND] - compleanno [n]
anniversaire	[n.m.pl] - compleanno [n]
anniversaire	[n.m.sg] - compleanno [n]
anniversaire	[n] - anniversario [n]
annonce	[n] - ad [n]
annoncer	[vblex] - annunciare [vblex]
annonciation	[n] - annunciazione [n]
annotation	[n] - annotazione [n]
annuaire	[n] - annuario [n]
annuel	[adj.f] - annuale [adj]
annuel	[adj.GD] - annuale [adj]
annuel	[adj.m] - annuale [adj]
annuellement	[adv] - annualmente [adv]
annulation	[n] - annullamento [n.m]
annuler	[vblex] - anulare [adj]
année	[n.f] - anno [n]
anomalie	[n] - anormalità [n.f.sp]
anonymat	[n] - anonimato [n]
anonyme	[adj.mf] - anonimità [n]
anorexie	[n] - anoressia [n]
anormal	[adj.f] - anormale [adj]
anormal	[adj.GD] - anormale [adj]
anormal	[adj.m] - anormale [adj]
antagoniste	[adj] - antagonista [n]
antenne	[n] - antenna [n]
antibiotique	[adj.mf] - antibiotico [n]
antichambre	[n] - anticamera [n]
anticipation	[n] - aspettativa [n]
anticiper	[vblex] - anticipare [vblex]
anticyclone	[n] - anticiclone [n]
antipode	[n.m] - antipode [adj]
antique	[adj.mf] - antico [adj]
antérieur	[adj.f] - anteriore [adj]
antérieur	[adj.GD] - anteriore [adj]
antérieur	[adj.m] - anteriore [adj]
antérieurement	[adv] - anteriormente [adv]
anxieux	[adj.f] - ansioso [adj]
anxieux	[adj.m.sp] - ansioso [adj]
anxiété	[n] - ansia [n]
anéantir	[vblex] - annientare [vblex]
anémie	[n] - anemia [n]
août	[n] - agosto [n.m]
apathie	[n] - apatia [n]
aperçu	[n.m] - percezione [n]
aphrodisiaque	[adj.mf] - afrodisiaco [adj]
apologie	[n] - apologia [n]
apparemment	[adv] - apparentemente [adv]
apparence	[n.f] - simile [adj]
apparence	[n] - fenomeno [n]
apparition	[n] - apparizione [n]
appartement	[n] - appartamento [n]
appartement	[n] - pavimento [n]
appartenance	[n] - appartenenza [n]
appartenant	[adj.f] - appartenente [adj]
appartenant	[adj.GD] - appartenente [adj]
appartenant	[adj.m] - appartenente [adj]
appartenir	[vblex] - appartenere [vblex]
appauvrir	[vblex] - impoverire [vblex]
appellation	[n] - appello [n.m]
appendice	[n] - appendice [n.f]
applaudir	[vblex] - applaudire [vblex]
applaudissement	[n] - applauso [n]
applicable	[adj] - applicabile [adj]
application	[n] - applicazione [n]
appliquer	[vblex] - applicare [vblex]
appointer	[vblex] - pagare [vblex]
apprendre	[vblex] - apprendere [vblex]
apprenti	[n] - apprendista [n.m]
apprentissage	[n] - apprendimento [n]
approbation	[n] - consenso [n]
approchant	[adv] - approssimativamente [adv]
approche	[n.f] - accesso [n]
approfondir	[vblex] - intensificare [vblex]
approprié	[adj] - adeguato [adj]
approvisionner	[vblex] - fornire [vblex]
approximation	[n] - ravvicinamento [n.m]
apprécier	[vblex] - apprezzare [vblex]
apprêt	[n] - addobbo [n]
appuyer	[vblex] - appoggiare [vblex]
appuyer sur	[vblex] - pulsare [vblex]
appétissant	[adj] - appetitoso [adj]
appétit	[n.m] - voglia [n]
appétit	[n] - appetito [n]
après	[adv] - dopo [adv]
après	[pr] - dietro [pr]
après	[pr] - dopo [pr]
après que	[cnjadv] - dopo di che [pr]
après-midi	[n.m.sp] - in ritardo [adv]
après-midi	[n.m] - in ritardo [adv]
apéritif	[adj] - aperitivo [n]
apéritif	[n] - aperitivo [n]
apôtre	[n] - apostolo [n]
aquarelle	[n] - acquerello [n.m]
aquatique	[adj.mf] - acquatico [adj]
arabe	[adj] - arabo [adj]
arabe	[n] - arabo [adj]
aragonais	[adj.f] - aragonese [adj]
aragonais	[adj.m.sp] - aragonese [adj]
araignée	[n] - ragno [n]
arbitrage	[n] - arbitrato [n]
arbitral	[adj.f] - arbitrale [adj]
arbitral	[adj.GD] - arbitrale [adj]
arbitral	[adj.m] - arbitrale [adj]
arbitre	[n] - arbitro [n.m]
arbre	[n] - albero [n]
arc	[n] - sopracciglio [n]
archange	[n] - arcangelo [n]
arche	[n.f] - sopracciglio [n]
archevêque	[n] - arcivescovo [n]
archipel	[n] - arcipelago [n]
architecte	[n.mf] - architetto [n]
architecture	[n] - architettura [n]
archives	[n.f.pl] - archivio [n]
archéologique	[adj.mf] - archeologico [adj]
ardent	[adj.f] - ardente [adj]
ardent	[adj.GD] - ardente [adj]
ardent	[adj.m] - ardente [adj]
ardu	[adj] - arduo [adj]
argent	[n.m.sg] - moneta [n.f]
argent	[n.m] - argento [n]
argentin	[adj] - argentino [adj]
argentin	[n] - argentino [adj]
argile	[n] - argilla [n]
argot	[n] - argot [n]
arithmétique	[n] - aritmetica [n]
arme	[n] - arma [n]
armistice	[n] - armistizio [n]
armoire	[n] - armadio [n]
armée	[n.f] - armata [n]
arnaque	[n.f] - timo [n]
arraché	[n.m] - avvio [n]
arrestation	[n.f] - arresto [n]
arrestation	[n] - arresto [n]
arriver	[vblex] - arrivare [vblex]
arrivée	[n] - arrivo [n]
arrière	[adj.mf.sp] - posteriore [adj]
arrondissement	[n] - arrotondamento [n]
arrosage	[n] - irrigazione [n.f]
arrêter	[vblex] - arrestare [vblex]
arrêter	[vblex] - detenere [vblex]
arsenal	[n] - arsenale [n]
art	[n.m] - attrezzo [n.m]
art	[n] - attrezzo [n.m]
artichaut	[n.m] - carciofo [n]
article	[n] - articolo [n]
articulation	[n] - giuntura [n]
articuler	[vblex] - articolare [vblex]
artificiel	[adj.f] - artificiale [adj]
artificiel	[adj.GD] - artificiale [adj]
artificiel	[adj.m] - artificiale [adj]
artificiellement	[adv] - artificialmente [adv]
artisan	[adj] - artigiano [n]
artisan	[n] - artigiano [n]
artisanal	[adj.f] - artigianale [adj]
artisanal	[adj.GD] - artigianale [adj]
artisanal	[adj.m] - artigianale [adj]
artiste	[n] - artista [n.m]
artistique	[adj.mf] - artistico [adj]
artère	[n] - arteria [n]
arène	[n] - sabbia [n]
arôme	[n.m] - aroma [n]
as	[n.m.sp] - as [n]
ascendant	[adj.f] - ascendente [n.m]
ascendant	[adj.f] - ascendente [n]
ascendant	[adj.GD] - ascendente [n.m]
ascendant	[adj.GD] - ascendente [n]
ascendant	[adj.m] - ascendente [n.m]
ascendant	[adj.m] - ascendente [n]
aspect	[n] - aspetto [n]
aspirateur	[adj] - aspirapolvere [n]
aspirateur	[n.m] - aspirapolvere [n]
aspiration	[n] - aspirazione [n]
aspirer	[vblex] - aspirare [vblex]
assaillir	[vblex] - assaltare [vblex]
assassin	[n] - assassino [n]
assassinat	[n] - assassinio [n]
assassiner	[vblex] - assassinare [vblex]
assemblée	[n] - assemblea [n]
assez	[adv] - abbastanza [adv]
assidu	[adj] - assiduo [adj]
assiette	[n.f] - piatto [n]
assigner	[vblex] - assegnare [vblex]
assimilation	[n] - assimilazione [n]
assimiler	[vblex] - assimilare [vblex]
assise	[n] - conferenza [n]
assistance	[n] - concorso [n.m]
assistant	[n.f] - aiutante [n]
assistant	[n.f] - badante [n]
assistant	[n.GD] - badante [n]
assistant	[n.m] - aiutante [n]
assistant	[n.m] - badante [n]
assister	[vblex] - assistere [vblex]
association	[n] - associazione [n]
associer	[vblex] - associare [vblex]
assommer	[vblex] - uccidere [vblex]
assomption	[n] - assunzione [n]
assoupir	[vblex] - dormire [vblex]
assoupissement	[n.m] - apatia [n]
assurance	[n.f] - certamente [adv]
assurer	[vblex] - assicurare [vblex]
asthme	[n.m] - asma [n]
astre	[n] - stella [n]
astronaute	[n] - astronauta [n]
astronome	[n.mf] - astronomo [n]
astuce	[n] - astuzia [n]
asturien	[adj] - asturiano [adj]
asturien	[n] - asturiano [adj]
asymétrie	[n] - asimmetria [n]
asymétrique	[adj.mf] - asimmetrico [adj]
athlète	[adj] - atleta [n]
athlète	[n] - atleta [n]
athlétisme	[n] - atletica leggera [n]
atlantique	[adj.mf] - atlantico [adj]
atmosphère	[n] - atmosfera [n]
atomique	[adj.mf] - atomico [adj]
atout	[n.m] - bazza [n]
attachement	[n] - attaccamento [n]
attendre	[vblex] - aspettare [vblex]
attentat	[n] - attentato [n]
attente	[n] - attesa [n]
attentif	[adj] - attento [adj]
attention	[n] - attenzione [n]
attentivement	[adv] - attentamente [adv]
atterrir	[vblex] - atterrare [vblex]
attester	[vblex] - testimoniare [vblex]
attique	[n.f] - attico [n]
attirer	[vblex] - attrarre [vblex]
attitude	[n] - atteggiamento [n.m]
attractif	[adj] - attrazione [n.f]
attrait	[n] - attrazione [n.f]
attribuer	[vblex] - attribuire [vblex]
attribut	[n] - attributo [n]
attribution	[n] - allocazione [n]
au cas où	[cnjadv] - nel caso in cui [adv]
au cas que	[cnjadv] - nel caso in cui [adv]
au cours de	[pr] - durante [pr]
au delà	[adv] - oltre [adv]
au dire de	[pr] - secondo [pr]
au dos	[adv] - alla schiena [adv]
